,highly_variable,means,dispersions,dispersions_norm
HES4,True,0.16795233852400943,1.2155829585667077,1.3355044
VWA1,True,0.16861394058797682,1.4145593782281336,1.8137804
HES5,True,0.03061418605768847,1.3592114730844467,1.6807417
PRDM16-DT,True,0.09712674911419353,1.2815772064732913,1.4941336
PRDM16,True,0.29781309142646517,1.8123143513994706,2.830228
SLC2A5,True,0.13272915540927993,2.24007883040945,3.7980669
RBP7,True,0.03319818764523224,1.3269268471404776,1.6031396
TNFRSF1B,True,0.10617927288121401,2.0380725122497068,3.3125079
TMEM51,True,0.11542428028294886,1.241360192904081,1.3974646
SRARP,True,0.009756511389640465,1.7748894084837832,2.6798995
PADI2,True,0.3320775751018148,2.0292219783483407,3.3734152
ALPL,True,0.022020530457850206,1.2198659886511993,1.3457994
C1QA,True,0.07559096894120151,1.863464572415541,2.8928058
C1QC,True,0.08883443004972817,2.0763384450795805,3.4044871
C1QB,True,0.13767028821782606,2.2037129044199815,3.7106547
ID3,True,0.0790294586536589,2.1121816839335534,3.4906428
RPL11,True,0.6149010563480279,1.308201071559407,1.1824913
NCMAP,True,0.014122836247981848,1.1526116550694985,1.1841414
CLIC4,True,0.4595241722587691,1.7563269772067427,2.6900227
RUNX3,True,0.007799744332598409,1.6416181631054996,2.3595576
RPS6KA1,True,0.10144109271243161,1.2277269305084784,1.3646946
WASF2,True,0.5326254436862843,1.1583635734348399,1.1925832
FGR,True,0.015387006635242836,1.4441242540428063,1.884845
PTAFR,True,0.06101092325685301,1.3143215089992786,1.5728405
LAPTM5,True,0.11648736549474513,1.896579061573903,2.9724026
TINAGL1,True,0.009127942030032704,1.4154587832351626,1.8159423
MARCKSL1,True,0.45916947094838045,1.6994185465568155,2.5475109
GJA4,True,0.004171168638629828,1.8974518493663706,2.9745004
COL8A2,True,0.011226000878951172,1.2250395490669375,1.358235
EVA1B,True,0.010799459124696998,1.238193553846129,1.389853
CSF3R,True,0.10231064549443818,1.9447724195820153,3.0882442
GRIK3,True,0.549063125044572,1.380893930588844,1.749851
HEYL,True,0.008926145154248173,1.4839084731021575,1.9804736
MFSD2A,True,0.04444041352570716,1.2584559202121253,1.4385574
COL9A2,True,0.14549167523882617,1.3229807345645672,1.5936545
SMAP2,True,0.7438889491368229,1.3597578743720113,1.2938937
SLC2A1,True,0.12276728832163036,1.6999368599494238,2.4997373
TMEM125,True,0.078232021545392,1.4553046946234145,1.9117192
TIE1,True,0.018823018438518406,1.4626515506381705,1.9293787
ELOVL1,True,0.14802786174647956,1.1784591745738613,1.2462705
RNF220,True,1.5744287894625622,3.2998660537326803,2.818831
TESK2,True,0.42633397577727644,1.279674427434739,1.4963738
