individualID,specimenID
R4119160,SM-CJIZR
R4641987,SM-CJGGZ
R5693901,SM-CJJ1R
R9116123,SM-CJIYJ
R2670295,SM-CJGLI
R6759986,SM-CTDRI
R1743384,SM-CTEEG
R3741788,SM-CJEI6
R3579460,SM-CTDQT
R3844037,SM-CJFNR
R3280186,SM-CTEE3
R2979477,SM-CJEI3
R9088015,SM-CJK59
R5636935,SM-CTDR4
R9101940,SM-CJGLZ
R6622577,SM-CTDQY
R7641350,SM-CJIY5
R1969233,SM-CTDTN
R7090624,SM-CJK3D
R4078277,SM-CJGNZ
R1710143,SM-CJJ1E
R4388056,MAP50104134
R6911631,SM-CTDU4
R5079327,SM-CJIXM
R2197944,SM-CJGN7
R7767837,SM-CTDQM
R2543886,SM-CJK3B
R8998310,ROS15114174
R1042011,SM-CJK5G
R9210731,SM-CTENF
R6132310,SM-CTEG9
R4242008,SM-CJGLJ
R6352950,SM-CJK51
R9163526,MAP50301099
R9101835,SM-CTDU8
R6627307,SM-CJEGH
R4174623,SM-CTDRB
R4087581,SM-CJK3C
R2645101,SM-CTECV
R3452739,SM-CJGM4
R5415701,SM-CJGNF
R9582641,SM-CJIYH
R8075334,SM-CJEI5
R3257830,SM-CJFNH
R8635714,SM-CJGHB
R6249698,SM-CJEGP
R7347788,SM-CTEMM
R1214999,SM-CTDRJ
R9818080,SM-CTDT7
R7840275,SM-CTEM6
R8054504,SM-CJIXD
R3442506,SM-CJIXI
R7698313,ROS20998065
R2582129,SM-CTDRM
R3769291,SM-CTEEZ
R4087141,SM-CJGIA
R7462671,SM-CJIZF
R4482444,SM-CTEMY
R6849345,SM-CJK5B
R6176158,ROS20275399
R1830086,SM-CJIX4
R3198654,SM-CJGHU
R7516349,SM-CTDSR
R9137173,SM-CJK45
R3078606,SM-CJIXV
R5158294,SM-CTDRN
R1521786,SM-CJEIH
R8799615,SM-CTDTV
R8330118,SM-CJK3O
R3128463,SM-CTEI5
R3426726,SM-CJGJ9
R5574987,SM-CTEDO
R7210604,SM-CTDST
R3857147,SM-CJGNM
R4817881,SM-CTDTW
R2424757,SM-CJGII
R7596878,SM-CJK5A
R3722356,SM-CJGN1
R3607578,SM-CTEFK
R2709337,SM-CJGHN
R9907075,SM-CJGH9
R1672797,SM-CJGHJ
R9817161,SM-CJGGV
R9809441,SM-CJGGS
R4345802,SM-CJIYE
R1020037,SM-CJEJ2
R2703808,SM-CJK4Q
R6337324,SM-CTDSW
R6057469,SM-CJK4S
R1073074,SM-CTDTI
R5131375,SM-CJEIJ
R3185659,SM-CTDTZ
R1944372,SM-CTDTR
R5992638,SM-CJIXR
R7903817,SM-CJIXC
R5499256,SM-CJK4H
